content,time
"മസ്‌കറ്റ്: ലഹരിമരുന്ന് കള്ളക്കടത്ത് കേസില്‍ പ്രവാസികള്‍ ഒമാനില്‍ അറസ്റ്റില്‍. രണ്ട് ഏഷ്യക്കാര്‍ ഉള്‍പ്പെടെ നാല് പ്രവാസികളെയാണ് റോയല്‍ ഒമാന്‍ പൊലീസ് അറസ്റ്റ് ചെയ്തത്. ഇവരുടെ പക്കല്‍ നിന്നും 1,498 ലഹരിമരുന്ന് ക്യാപ്‌സ്യൂളുകള്‍, രണ്ട് കിലോ ഹെറോയിന്‍, 19 കിലോ ഹാഷിഷ്, മൂന്ന് കിലോ ഏസ്തെറ്റിക് ക്രിസ്റ്റല്‍ എന്നിവ പിടിച്ചെടുത്തു., ","Muscat, First Published 16, May 2020, 12:01 PM"
"കല്‍പ്പറ്റ: മുത്തങ്ങ എക്‌സൈസ് ചെക്ക് പോസ്റ്റില്‍ ലോറിയില്‍ കടത്തുകയായിരുന്ന ഹാന്‍സ് പാക്കറ്റുകള്‍ പിടികൂടി. എക്‌സൈസ് ഇന്റലിജന്‍സ് നല്‍കിയ രഹസ്യ വിവരത്തിന്റെ അടിസ്ഥാനത്തിലായിരുന്നു പരിശോധന. കൊവിഡ് 19 പ്രതിരോധ പ്രവര്‍ത്തനങ്ങളുടെ ഭാഗമായി അതിര്‍ത്തി ചെക്‌പോസ്റ്റുകളിലെല്ലാം കനത്ത കാവലും പരിശോധനകളും നടക്കുകയാണ്. ,ഡ്രൈവറും സഹായിയും മാത്രമുള്ള ചരക്ക് വാഹനങ്ങളെ എല്ലാം വലിയ പരിശോധന കൂടാതെ കടത്തിവിടുന്നുണ്ട്. ഇത് മുതലെടുത്താണ് മറ്റ് ചരക്കുകള്‍ക്കൊപ്പം ലഹരിമരുന്ന് കടത്തിയതെന്നാണ് നിഗമനം. 15000 പായ്ക്കറ്റ് ഹാന്‍സാണ് പിടികൂടിയത്. സംഭവുമായി ബന്ധപ്പെട്ട് കൊടുവള്ളി വെണ്ണക്കാട് സ്വദേശി സലീം എന്നയാളെ അറസ്റ്റു ചെയ്തു.,
 ","Kalpetta, First Published 24, Mar 2020, 2:40 PM"
" കൊവിഡ് 19നെ പ്രതിരോധിക്കാന്‍ വാക്സിനും മരുന്നും ഏഷ്യന്‍ രാജ്യങ്ങള്‍ കണ്ടെത്തിയോ. സാമൂഹ്യമാധ്യമങ്ങളില്‍ തകൃതിയായി നടക്കുന്ന പ്രചാരണങ്ങള്‍ പറയുന്നത് ജപ്പാന്‍, ഫിലിപ്പീന്‍സ് ഗവേഷകർ ഇവ കണ്ടെത്തിയെന്നാണ്. ,ജപ്പാന്‍ 'അവിഗാന്‍' എന്ന പേരില്‍ ഒരു വാക്സിന്‍ കണ്ടെത്തിയെന്ന് മാർച്ച് 29ന് പ്രത്യക്ഷപ്പെട്ട ഒരു ഫേസ്ബുക്ക് പോസ്റ്റ് അവകാശപ്പെടുന്നു. ജപ്പാനിലെ ഒരു ടെലിവിഷന്‍ ചാനലില്‍ വന്ന റിപ്പോർട്ട് എന്ന നിലയ്ക്കുള്ള ഒരു സ്ക്രീന്‍ഷോട്ടാണ് പ്രചരിച്ചത്. ജപ്പാന്‍ പ്രധാനമന്ത്രി ഷിന്‍സോ ആബേയുടെ ചിത്രവും സ്ക്രീന്‍ഷോട്ടിലുണ്ട്. ഇതോടെ ഫേസ്ബുക്കിലും ട്വിറ്ററിലും ഈ സ്ക്രീന്‍ഷോട്ട് വ്യാപകമായി പ്രചരിക്കുകയായിരുന്നു. ,എന്നാല്‍ അവിഗാന്‍ ഒരു വാക്സിനല്ല എന്നതാണ് സത്യം. ആന്‍ഡി വൈറല്‍ ഡ്രഗ് മാത്രമാണ് അവിഗാന്‍. നോവല്‍ കൊറോണ വൈറസിനുള്ള മരുന്നായേക്കാവുന്ന അവിഗാന്‍റെ സാധ്യതകള്‍ പഠിക്കാനുള്ള നടപടിക്രമം ആരംഭിക്കുന്നതായി മാർച്ച് 28ന് ജപ്പാന്‍ അറിയിച്ചിരുന്നു. 100 രോഗികളില്‍ ജൂണ്‍ വരെ ഈ മരുന്ന് പരീക്ഷിക്കും. ഇതിന് ശേഷമാകും അനുമതിക്കായി അപേക്ഷിക്കാന്‍ കഴിയുക. ,ഫിലിപ്പീന്‍സ് 'പ്രൊഡക്സ് ബി' എന്ന മരുന്ന് കണ്ടെത്തി എന്നായിരുന്നു അടുത്ത പ്രചാരണം. എന്നാല്‍ ഇത് ഫിലിപ്പീന്‍സ് ആരോഗ്യമന്ത്രാലയം തള്ളിക്കളഞ്ഞു. അനുമതിയില്ലാത്ത ഇത്തരം മരുന്നുകള്‍ ഉപയോഗിക്കരുതെന്നും വലിയ ആരോഗ്യപ്രശ്നങ്ങള്‍ ഉണ്ടാക്കുമെന്നും അധികൃതർ മുന്നറിയിപ്പ് നല്‍കി. കൊവിഡിന് വാക്സിന്‍ കണ്ടെത്തിയതായി WHO ഇതുവരെ സ്ഥിരീകരിച്ചിട്ടില്ല., ","Tokyo, First Published 4, Apr 2020, 8:20 AM"
,
" പ്രതിഷേധങ്ങളിൽ പങ്കെടുക്കുന്ന സ്ത്രീകൾക്കെതിരെ ആരോപണവുമായി പശ്ചിമബംഗാള്‍ ബിജെപി അധ്യക്ഷൻ ദിലീപ് ഘോഷ്. തെരുവുകളിൽ പ്രതിഷേധിക്കുന്ന സ്ത്രീകൾ ലഹരി ഉപയോഗിച്ച് പ്രകോപനപരമായ മുദ്രാവാക്യം വിളിക്കുകയും ടാഗോറിന്റെ ഗാനങ്ങളിലെ വരികള്‍ വളച്ചൊടിച്ച് വീഡിയോകള്‍ നിര്‍മ്മിക്കുന്ന പ്രവൃത്തികളില്‍ ഏര്‍പ്പെടുന്നത് നിര്‍ഭാഗ്യകരമാണെന്നും ദിലീപ് ഘോഷ് പറഞ്ഞു.,'വീഡിയോയില്‍ അന്തസ്സില്ലാത്ത പ്രവൃത്തികള്‍ ചെയ്യുന്നതിലൂടെ ചില യുവതികള്‍ ആത്മാഭിമാനം, അന്തസ്സ്, സംസ്‌കാരം, ധാര്‍മ്മികത എന്നിവ മറക്കുന്നു. ആരെയും കുറ്റപ്പെടുത്തുന്നില്ല എന്നാല്‍ ഇത് സമൂഹത്തിന്റെ അപചയമാണ്,'- ദീലീപ് ഘോഷ് പറഞ്ഞു.,കുറച്ചു ദിവസങ്ങളായി പ്രതിഷേധം സംഘടിപ്പിക്കുകയും സ്ത്രീകള്‍ അത്തരം പ്രതിഷേധങ്ങളുടെ മുന്‍ നിരയില്‍ ലഹരി ഉപയോഗിച്ച് ഇരിക്കുകയും ദിവസം മുഴുവന്‍ പ്രകോപനപരമായ മുദ്രാവാക്യങ്ങള്‍ ഉയര്‍ത്തുകയും ചെയ്യുന്നു. സമൂഹം എവിടേക്കാണ് പോകുന്നതെന്ന് നാം ആത്മപരിശോധന നടത്തണമെന്നും ദീലീപ് ഘോഷ് കൂട്ടിച്ചേർത്തു. രക്ഷിതാക്കൾ, കോളേജുകളിലെ അധികാരികൾ, സ്കൂളുകൾ, വിദ്യാഭ്യാസ മന്ത്രി എന്നിവർ സമൂഹത്തിലെ ഈ അപചയത്തെക്കുറിച്ച് ചിന്തിക്കണമെന്നും ഘോഷ് അഭിപ്രായപ്പെട്ടു.,അതേസമയം, ദിലീപ് ഘോഷിന്റെ പ്രസ്താവനയ്‌ക്കെതിരെ വന്‍പ്രതിഷേധമാണ് ഉയരുന്നത്. ഘോഷിന്‍റെ പ്രസ്താവന സ്ത്രീ സമൂഹത്തെ അപമാനിക്കുന്നതാണെന്നും അവരോടുള്ള അനാദരവാണിതെന്നും പശ്ചിമ ബംഗാൾ നഗരവികസന മന്ത്രി ഫിർഹാദ് ഹക്കീം പറഞ്ഞു. സംസ്ഥാനത്തെ എല്ലാ സ്ത്രീകളെയും അപമാനിക്കാനാണ് അന്താരാഷ്ട്ര വനിതാ ദിനം ഘോഷ് തെരഞ്ഞെടുത്തതെന്നും ഹക്കീം ആരോപിച്ചു.","Kolkata, First Published 9, Mar 2020, 10:03 AM"
"കോഴിക്കോട്: മാരക ലഹരിമരുന്നായ 25 ഗ്രാം എംഡിഎംഎയും 2 കിലോ കഞ്ചാവുമായും എഞ്ചിനിയറിംഗ് ബിരുദധാരിയായ യുവാവ് കോടഞ്ചേരി പൊലിസിന്റെ പിടിയിലായി. ഗൂഡല്ലുര്‍ സ്വദേശിയായ നിഷാന്താണ്(25) പിടിയിലായത്. താമരശ്ശേരി ഡിവൈഎസ്പി കെ പി  അബ്ദുള്‍റസാഖിന് ലഭിച്ച രഹസ്യവിവരത്തിന്റ അടിസ്ഥാനത്തില്‍ കോടഞ്ചേരി എസ്‌ഐ  കെ പി അഭിലാഷും ജില്ലാ ലഹരി വിരുദ്ധ സ്വാകാഡും ചേര്‍ന്നാണ് ഇയാളെ പിടികൂടിയത്. തിങ്കളാഴ്ച രാവിലെ 10 മണിയോടെ തുഷാരഗിരി ടൂറിസ്റ്റ് കേന്ദ്രത്തില്‍ മയക്ക് മരുന്ന് വില്പനക്കെത്തിയപ്പോഴാണ് പ്രതി പൊലീസ് പിടിയിലായത്. പിടിച്ചെടുത്ത കഞ്ചാവിന് ഒന്നര ലക്ഷം രൂപ വില വരും. ,ബാംഗ്ലൂര്‍ ലഹരി മരുന്ന് ശൃംഖലയില്‍ 'സ്‌നേക്ക് മാന്‍' എന്ന രഹസ്യ പേരിലാണ് പ്രതി ലഹരിമരുന്ന് വില്പനക്കാര്‍ക്കിടയില്‍ അറിയപ്പെടുന്നത്. ബാംഗ്ലൂര്‍ കേന്ദ്രികരിച്ചുള്ള വന്‍ മയക്കുമരുന്ന് സംഘത്തിലെ പ്രധാന കണ്ണിയാണ് യുവാവ്. ന്യു ജനറേഷന്‍ സിന്തറ്റിക് ഡ്രഗ്സ്സിന്‍ പെടുന്ന എംഡിഎംഎ വിദേശത്തു നിന്ന് ഓണ്‍ലൈന്‍ ആയും ബാംഗ്ലൂരില്‍ താമസിക്കുന്ന അഫ്രിക്കന്‍ സ്വദേശികളില്‍ നിന്നും മൊത്തമായുമടുത്ത് വ്യാപാരം നടത്തുന്ന മലയാളി സംഘത്തിന്റെ പ്രധാനിയാണ് പ്രതി. ,യുവാക്കള്‍ക്കിടയില്‍ കഞ്ചാവിനെ മറികടന്ന് ന്യു ജനറേഷന്‍ ലഹരിമരുന്ന് വ്യാപകമായിക്കൊണ്ടിരിക്കുകയാണ്.ഇതിന് കാരണം ഒറ്റ ഉപയോഗത്തിന്‍ തുടര്‍ച്ചയായി പത്ത് മണിക്കൂറോളം കടുത്ത ലഹരി ലഭിക്കുന്നു എന്നതാണ് ഇതിന്റെ പ്രത്യകത.  ഇത്തരം ലഹരിമരുന്നിന്ന് കേരളത്തില്‍ ഗ്രാമിന് 4000 രൂപ വിലയുണ്ട്. പിടിച്ചെടുത്ത എംഡിഎംഎക്ക് ഒരു ലക്ഷം രുപ വില വരും. ചോദ്യം ചെയ്തതില്‍ കൊക്കയില്‍, എല്‍എസ്ഡി, പില്‍സ്, ഹാഷിഷ് ,കഞ്ചാവ്, എംഡിഎംഎ എന്നിവ മൊത്തത്തില്‍ എടുത്ത് വില്പന നടത്താറുണ്ടെന്ന് പ്രതി പൊലീസിനോട് സമ്മതിച്ചു. ,ബാംഗ്ലൂരിലെ ലഹരി കടത്ത് സംഘത്തിലൈ പ്രധാനികള്‍ ഭൂരിഭാഗവും അഭ്യസ്ഥവിദ്യരായ മലയാളി യുവാക്കളാണെന്ന് പ്രതി പൊലീസിനോട് പറഞ്ഞു. ഇയാള്‍ കേരളത്തില്‍ മുന്‍പ് നിരവധി തവണ ലഹരി മരുന്ന് വില്പന നടത്തിയിട്ടുണ്ട്.  ജില്ലാ ലഹരിവിരുദ്ധ സ്‌ക്വാഡ് എസ്‌ഐമാരായ രാജീവ് ബാബു, വി കെ സുരേഷ്, ഐസ്‌ഐ  ഷിബില്‍ ജോസഫ്, സീനിയര്‍ സിപിഒ ജിനേഷ് കുര്യന്‍, കോടഞ്ചേരി സ്റ്റേഷനിലെ സീനിയര്‍ സിപിഒ അഷ്‌റഫ്. സിപിഒമാരായ രാകേഷ്, സ്മിത്ത് എന്നിവര്‍ ചേര്‍ന്നാണ് പ്രതിയെ പിടികൂടിയത്.","Kozhikode, First Published 10, Mar 2020, 7:12 AM"
"വൈത്തിരി: കുടകിൽ നിന്നും വന്ന യുവാവിനെ മയക്കുമരുന്നുമായി കസ്റ്റഡിയിലെടുത്തു. കൊറോണ ബാധിത പ്രദേശമായ കുടകിൽ നിന്നും വീട്ടിൽ നിരീക്ഷണത്തിൽ കഴിയാൻ ആവശ്യപ്പെട്ട യുവാവിനെയാണ് വൈത്തിരി പോലീസ് കസ്റ്റഡിയിലെടുത്തത്. ,കൊടുവള്ളി സ്വദേശിയെ വൈത്തിരി എസ് ഐ ജിതേഷും സംഘവും പിടികൂടിയത്. മയക്കുമരുന്നുമായി കൂടെയുണ്ടായിരുന്ന മറ്റു മൂന്നു പേരെയും പോലീസ് പിടികൂടി. ലക്കിടിക്കടുത്ത അറമലയിലെ ഒരു വാടക വീട്ടിൽ തമ്പടിച്ചിരിക്കുകയായിരുന്നു സംഘം.,വയനാട്ടിലേക്ക് അയൽ ജില്ലകളിൽ നിന്നുള്ള യാത്രകൾക്ക് കർശന നിയന്ത്രണം ഏർപ്പെടുത്തിയിട്ടുണ്ട്. ദുരന്ത നിവാരണ നിയമ പ്രകാരം ജില്ലാ കളക്ടറാണ് ഉത്തരവിട്ടത്. വയനാട്ടിലേക്കുള്ള പ്രവേശന കവാടങ്ങളായ ലക്കിടി, പേരിയ, ബോയ്സ് ടൗൺ, നിരവിൽപ്പുഴ എന്നിവിടങ്ങളിൽ പ്രത്യേക പരിശോധനാ സംഘങ്ങളെ നിയോഗിക്കാൻ ജില്ലാ പോലീസ് മേധാവിക്കും ഡിഎംഒക്കും നിർദ്ദേശം നൽകി.,  ","Vythiri, First Published 21, Mar 2020, 11:21 PM"
"ദില്ലി:  ഇറ്റാലിയൻ വയോധിക ദമ്പതികൾക്ക് കൊവിഡ് ബാധയുണ്ടായപ്പോള്‍ ജയ്പുരിൽ എച്ച്ഐവി ചികിത്സയ്ക്കുള്ള മരുന്ന് നൽകിയത്  പരീക്ഷണാടിസ്ഥാനത്തിലെന്ന് ആരോഗ്യ മന്ത്രാലയം. രോഗികളുടെ പൂർണസമ്മതം വാങ്ങിയിരുന്നു പരീക്ഷണമെന്ന് ഇന്ത്യൻ കൗൺസിൽ ഓഫ് മെഡിക്കൽ റിസർച്ചും (ഐസിഎംആർ) വ്യക്തമാക്കി. ,ദമ്പതികളിൽ ഭാര്യ ഒരാഴ്ച കൊണ്ടു കോവിഡ് മുക്തയായി, ഭർത്താവും സുഖപ്പെട്ടുവരുന്നു. എങ്കിലും കൂടുതൽ വ്യാപകമായി പരീക്ഷിച്ചു തെളിയിക്കപ്പെടുന്നതുവരെ ഫലപ്രാപ്തി ഉറപ്പു നൽകാനാവില്ലെന്ന് ഐസിഎംആറിലെ പകർച്ചവ്യാധി ചികിത്സാവിഭാഗം മേധാവി ഡോ. രാമൻ ആർ. ഗംഗാഖേദ്കർ വ്യക്തമാക്കി.,ഇറ്റലിയിൽനിന്നു ടൂറിസ്റ്റുകളായെത്തിയ അറുപത്തിയൊൻപതുകാരനും ഭാര്യയ്ക്കും സവായ് മാൻ സിങ് ആശുപത്രിയിലാണ് എച്ച്ഐവി ബാധിതർക്കു നൽകാറുള്ള ലോപിനാവിർ, റിറ്റോനാവിർ മരുന്നുകൾ ചേർത്തുനൽകിയത്. ഇതിനു പുറമെ മലമ്പനി, എച്ച്1എൻ1 എന്നിവയ്ക്കുള്ള മരുന്നുകളും ആന്റിബയോട്ടിക്കും നൽകി. ശ്വാസംമുട്ടലോടെ അതീവഗുരുതര നിലയിലായിരുന്നു ഭർത്താവ്. ഭാര്യയും ശ്വാസകോശ രോഗിയാണ്. പാർശ്വ ഫലങ്ങളുണ്ടായിട്ടില്ല.,ഇന്ത്യൻ ഡോക്ടർമാർ എച്ച്ഐവി ചികിത്സയിൽ പരിചയസമ്പന്നരാണെന്നു ഡോ. ഗംഗാഖേദ്കർ പറഞ്ഞു. ചൈനയിൽ 199 രോഗികളിൽ പരീക്ഷിച്ചുകൊണ്ടിരിക്കുകയാണ്. അതിന്റെ ഫലം വന്നാൽ ഈ ചികിത്സാമാർഗത്തിന്റെ കാര്യത്തിൽ തീരുമാനമെടുക്കാനാവും. 2 മരുന്നുകളും ഇന്ത്യയിൽ ആവശ്യത്തിനു സ്റ്റോക്കുണ്ടെന്ന് ഐസിഎംആർ ഡയറക്ടർ ജനറൽ ഡോ. ബൽറാം ഭാർഗവ പറഞ്ഞു., സാർസ്, മെർസ് രോഗങ്ങൾ പടർന്നപ്പോൾ‌ മൃഗങ്ങളിലും ഏതാനും രോഗികളിലും ഇതു വിജയകരമായി പരീക്ഷിച്ചതാണെന്ന് ഐസിഎംആർ നാഷനൽ ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് എപ്പിഡെമിയോളജി ഡയറക്ടർ ഡോ. മനോജ് മുർഹേക്കറും വ്യക്തമാക്കി.","Jaipur, First Published 16, Mar 2020, 9:56 AM"
"കാനഡ: മലേറിയയ്ക്ക് നൽകുന്ന ക്ലോറോക്വിൻ‌, ഹൈ‍ഡ്രോക്സി ക്ലോറോക്വിൻ എന്നീ മരുന്നുകൾ കൊവിഡ് 19 ചികിത്സയ്ക്കോ പ്രതിരോധത്തിനോ നൽകുന്നത് ​ഗുരുതരമായ പാർശ്വഫലങ്ങൾ ഉണ്ടാകുമെന്ന മുന്നറിയിപ്പുമായി കാനഡയിലെ ആരോ​ഗ്യ വകുപ്പ്. ക്ലോറോക്വിൻ, ഹൈഡ്രോക്സി ക്ലോറോക്വിൻ എന്നിവയ്ക്ക് ​ഗുരുതരമായ പാർശ്വഫലങ്ങളുണ്ട്. ഫിസിഷ്യന്റെ നിർദ്ദേശാനുസരണം മാത്രമേ ഈ മരുന്നുകൾ ഉപയോ​ഗിക്കാൻ പാടുള്ളൂ. കാനഡയിലെ പബ്ലിക് ഹെൽത്ത് ഏജൻസി വെബ്സൈറ്റിൽ വ്യക്തമാക്കിയിരിക്കുന്നു.,കൊവിഡ് 19 ബാധ പ്രതിരോധിക്കുന്നതിനായി ചില വ്യക്തികൾ ഈ മരുന്ന് മെഡിക്കൽ ഷോപ്പുകളിൽ നിന്ന് നേരിട്ട് വാങ്ങി ഉപയോ​ഗിക്കുന്നതായി ശ്രദ്ധയിൽ പെട്ടിട്ടുണ്ട്. ഇത്തരം ഉപയോ​​ഗം ഹൃദയമിടിപ്പിനെ പ്രതികൂലമായി ബാധിക്കാനിടയുണ്ട്. യൂറോപ്യൻ മെഡിസിൻ ഏജൻസിയും സമാനമായ മുന്നറിയിപ്പ് നൽകിയിരുന്നു. ഹൈഡ്രോക്സി ക്ലോറോക്വിന്‍ കൊവിഡ് പ്രതിരോധത്തിന് ഫലപ്രദമാണോ എന്നത് സംബന്ധിച്ച് നേരത്തെയും മെഡിക്കല്‍ രംഗത്ത് ചര്‍ച്ചകള്‍ നടന്നിരുന്നു. ഹൈഡ്രോക്‌സി ക്ലോറോക്വിന്‍ ഉപയോഗിക്കുന്ന രോഗികളില്‍ ആഴ്ചകളോളം ഹൃദയ സംബന്ധമായ പ്രശ്‌നം ഉണ്ടാവുന്നതായി കാര്‍ഡിയോളജിസ്റ്റുകള്‍ നേരത്തെ ചൂണ്ടിക്കാണിച്ചിരുന്നു.,
,
 ","Canada, First Published 27, Apr 2020, 12:43 PM"
"പനി, ജലദോഷം, ചുമ എന്നിവയ്‌ക്കായി മരുന്നുകൾ വാങ്ങുന്നവരുടെ പേര്, വിലാസം, ഫോൺ നമ്പറുകൾ എന്നിവ ശേഖരിക്കാൻ മെഡിക്കൽ ഷോപ്പുകൾക്കും ഫാർമസികൾക്കും തെലങ്കാന, ആന്ധ്രാപ്രദേശ്, ബിഹാർ, മഹാരാഷ്ട്ര എന്നീ നാല് സംസ്ഥാനങ്ങൾ നിർദേശം നൽകി. പ്രതിദിന പട്ടിക ശേഖരിച്ച് ആന്ധ്ര, തെലങ്കാന സർക്കാരുകൾ ആളുകളെ കണ്ടെത്തുമെന്നും കൊവിഡ് പരിശോധനകൾ നടത്തുമെന്നും അധികൃതർ അറിയിച്ചു. ,കൊവിഡിന് സമാനമായ ലക്ഷണങ്ങൾ കണ്ടിട്ടും ചിലർ മറച്ച് വയ്ക്കുന്നുണ്ട്. പരിശോധനയ്ക്ക് വിധേയരാകാനും ചിലർ മടി കാണിക്കുന്നു. നിരവധി പേർ പാരസെറ്റമോൾ പോലുള്ള മരുന്നുകൾ മെഡിക്കൽ ഷോപ്പുകളിൽ നിന്ന് വാങ്ങി കഴിക്കുന്നുണ്ടെന്ന് വിവരം ലഭിച്ചുവെന്നും തെലങ്കാന സർക്കാർ പറയുന്നു. നിരവധി പേരെ കണ്ടെത്തുകയും അവരിൽ കൊവിഡ് പരിശോധന നടത്തിയെന്നും പോസിറ്റീവാണ് കണ്ടതെന്നും സർക്കാർ പറയുന്നു. ,തെലങ്കാനയിലെ മുനിസിപ്പൽ അഡ്മിനിസ്ട്രേഷൻ, നഗരവികസന വകുപ്പ് എല്ലാ മുനിസിപ്പൽ കമ്മീഷണർമാരോടും കലക്ടർമാരോടും മെഡിക്കൽ ഷോപ്പ് ഉടമകളുമായും ഫാർമസിസ്റ്റുകളുടെ സംഘടനയുമായും അടിയന്തര യോഗം വിളിക്കാനും ഈ മരുന്നുകൾ വാങ്ങുന്നവരുടെ ‌വിവരങ്ങൾ ശേഖരിക്കാനും നിർദേശം നൽകാൻ വെള്ളിയാഴ്ച പുറത്തിറക്കിയ മെമ്മോയിൽ പറയുന്നുണ്ട്. ,അവരുടെ നന്മയ്ക്ക് വേണ്ടിയി‌ട്ടാണ് ഇത് ചെയ്യുന്നതെന്ന് കടയുടമകൾ ഉപഭോക്താക്കളോട് പറഞ്ഞ് മനസിലാക്കണമെന്നും സർക്കാർ പറയുന്നു. രോഗലക്ഷണങ്ങൾ ഉണ്ടായിട്ടും പരിശോധന നടത്താൻ മടി കാണിക്കുന്നവരെ സഹായിക്കാനായി രണ്ട് ഡോക്ടർമാരുടെ നേതൃത്വത്തിൽ ആന്ധ്രയിൽ കൊവിഡ് -19 കൺട്രോൾ റൂമും സ്ഥാപിച്ചിട്ടുണ്ട്.,പൂനെയിലും എല്ലാ മെഡിക്കൽ ഷോപ്പുകളിലും പനിയ്ക്ക് മരുന്ന് വാങ്ങുന്നവരുടെ രേഖകൾ സൂക്ഷിക്കാൻ പൊലീസ് മെഡിക്കൽ ഷോപ്പുകൾക്ക് നിർദേശം നൽകിയിട്ടുണ്ട്. വിവരങ്ങൾ എല്ലാ ദിവസവും രാത്രി 8 മണിയോടെ വാട്സാപ്പ് വഴി കൈമാറണമെന്നും പൂനെ സിറ്റി പൊലീസ് ജോയിന്റ് കമ്മീഷണർ രവീന്ദ്ര ഷിസാവെ പറയുന്നു.,
 ","Andhra Pradesh, First Published 19, Apr 2020, 11:34 AM"
